cliente_id,perfil_real,interes_gpu,interes_cpu,interes_ram,interes_refrig,interes_fuente,presupuesto
158,Disenador,0.8150201177958661,0.8400824136220617,1.0,0.5929915233673847,0.49744748290752616,854.0459650593777
342,Oficina,0.20002070649181972,0.44906996788613857,0.36721052834870826,0.2655190683858979,0.43250982646676345,219.93046764336495
316,Oficina,0.25462842480036996,0.4506422269810938,0.35636141094734314,0.2390390196074169,0.34116370407946645,294.49834551768083
235,Oficina,0.29960476858058166,0.37432049114305394,0.2578189333258156,0.40013336519554865,0.3177320161157864,312.3750475317429
156,Disenador,0.6944800473306801,1.0,0.7841588879667005,0.4801194043379917,0.6940014450053332,948.9728878236945
275,Oficina,0.09376064718531203,0.49283070972076487,0.38128557349954517,0.3485729995679863,0.4687386051564751,738.4345463027921
305,Oficina,0.21686546719667277,0.4941940649569409,0.2909600922557154,0.39109323797462703,0.3401411867715738,352.82744344172716
228,Oficina,0.21195803684141534,0.35269310591184444,0.5196571501664492,0.234147042697303,0.3472695460490068,210.00980613902058
279,Oficina,0.28406200265045534,0.5046733568201379,0.3761067900830306,0.21331755881853123,0.31082418509561777,211.63847232522463
186,Disenador,0.7309317599236653,0.8717432873179722,0.9696054184551004,0.7495681887972604,0.6650418905143577,1382.4805012331126
76,Gamer,0.8437320902726828,0.7955142320501238,0.5014273953664456,0.7004046515517844,0.6469742381627559,482.8508670950623
125,Disenador,0.8017659020469123,0.7774256186846534,0.9149413411581663,0.6244617067646677,0.5888482197008051,496.66945157588884
169,Disenador,0.8549552715319335,0.7964764788439431,1.0,0.71975996046924,0.8575260872625265,855.4060909552161
127,Disenador,0.799331790088089,0.8684836123694873,0.8313313775855029,0.7700309879408991,0.5924362173762227,1261.0049073226808
174,Disenador,0.7724451818559972,0.9547098302612155,1.0,0.6541115737131059,0.7578680833431296,1180.7457652496464
40,Gamer,1.0,0.7633919022318011,0.39748574133423925,0.6686454314769428,0.6338213535231612,1140.9733339184895
298,Oficina,0.04952796259689979,0.5260055963689603,0.40824397529345036,0.10424485005350695,0.31907909229501363,237.1765391614125
78,Gamer,0.7800274492007414,0.7213979910734222,0.588767195030917,0.6279030400466777,0.7614166700043424,1103.003084018922
57,Gamer,0.7674502803207488,0.6678614158347006,0.6412931454275624,0.5936275447196026,0.6177779604433569,897.4748845967649
119,Gamer,0.6418070592116277,0.8696456368290038,0.6211017467202619,0.6403286888129608,0.645508091319105,959.6544457408284
234,Oficina,0.32004139079444255,0.38431057210286046,0.2953089017318061,0.30366527525272863,0.4685704154662997,457.84299659976
